Word,Term Frequency
order,0.027016289233214145
higher,0.01926897099721891
paths,0.013905442987683751
data,0.011124354390147001
honb,0.01092570520460866
lsi,0.010329757647993643
instances,0.009733810091378626
class,0.009336511720301947
training,0.009336511720301947
path,0.009336511720301947
number,0.00854191497814859
classification,0.00854191497814859
learning,0.00814461660707191
documents,0.0077473182359952325
tkde,0.007151370679380214
information,0.006754072308303536
second,0.006555423122765197
co,0.006555423122765197
text,0.0059594755661501785
words,0.005760826380611839
document,0.0055621771950735005
sets,0.0055621771950735005
latent,0.005164878823996822
svm,0.005164878823996822
two,0.004966229638458482
set,0.004767580452920143
graph,0.004767580452920143
used,0.004568931267381803
classifier,0.004568931267381803
occurrence,0.004568931267381803
fig,0.004568931267381803
knn,0.004568931267381803
also,0.004568931267381803
distinct,0.004370282081843465
different,0.004370282081843465
links,0.004370282081843465
performance,0.004171632896305125
term,0.0037743345252284465
records,0.0037743345252284465
terms,0.0037743345252284465
iid,0.003575685339690107
case,0.003575685339690107
machine,0.003575685339690107
one,0.003377036154151768
complexity,0.003377036154151768
analysis,0.003377036154151768
science,0.0031783869686134287
assumption,0.0031783869686134287
three,0.0031783869686134287
model,0.0031783869686134287
